id,brand,store_name,status,district,address,longitude_wgs84,latitude_wgs84,coordinate_method,coordinate_confidence,phone,source_group,source_note,notes
ZJ001,詹记/宫廷桃酥类,詹记宫廷桃酥,active_assumed,,长虹世纪荣廷11栋103号门面,117.33328533163734,31.908031781503574,existing_project_kml,high,15005526854,existing_project,from zhanji_all.kml in uploaded project,"117.338941, 31.906122"
ZJ002,詹记/宫廷桃酥类,利勇宫廷桃酥王,active_assumed,,新海大道紫燕百味鸡旁(新海公园地铁站C口步行450米),117.33361955324116,31.89701275291241,existing_project_kml,high,18956052913,existing_project,from zhanji_all.kml in uploaded project,"117.339275, 31.895106"
ZJ003,詹记/宫廷桃酥类,宫庭桃酥王,active_assumed,,宫廷桃酥王永辉超市一层南门3号店铺,117.30381564456562,31.887168814803733,existing_project_kml,high,[],existing_project,from zhanji_all.kml in uploaded project,"117.309395, 31.885208"
ZJ004,詹记/宫廷桃酥类,宫廷桃酥,active_assumed,,张衡路800号银城旭辉樾溪臺,117.36367337279363,31.926716567369535,existing_project_kml,high,[],existing_project,from zhanji_all.kml in uploaded project,"117.369397, 31.924852"
ZJ005,詹记/宫廷桃酥类,宫廷桃酥王 现烤糕点(云河湾店),active_assumed,,云河湾s-106卡旺卡旁,117.36069769819703,31.885098350354564,existing_project_kml,high,[],existing_project,from zhanji_all.kml in uploaded project,"117.366412, 31.883239"
ZJ006,詹记/宫廷桃酥类,宫廷桃酥王(五十五中店),active_assumed,,琥珀名城沁园门面47栋,117.37375998580588,31.87378097143302,existing_project_kml,high,[],existing_project,from zhanji_all.kml in uploaded project,"117.379494, 31.871939"
ZJ007,詹记/宫廷桃酥类,宫廷桃酥王(五里井店),active_assumed,,合肥市第三十八中学南陵路分校西门南130米,117.3205514836462,31.86754945231537,existing_project_kml,high,17826193532,existing_project,from zhanji_all.kml in uploaded project,"117.326171, 31.865624"
ZJ008,詹记/宫廷桃酥类,宫廷桃酥王(琅琊山路店),active_assumed,,三里街街道戴安桥路18号大富新村,117.30480969332248,31.871698795995197,existing_project_kml,high,13063482702,existing_project,from zhanji_all.kml in uploaded project,"117.31039, 31.869743"
ZJ009,詹记/宫廷桃酥类,江鹰彭氏宫廷桃酥王(三分店),active_assumed,,龙岗长江东路29号(第一人民医院集团肥东县第二人民医院附近),117.35704812003283,31.86972526798985,existing_project_kml,high,13605609924,existing_project,from zhanji_all.kml in uploaded project,"117.362754, 31.867864"
ZJ010,詹记/宫廷桃酥类,詹记桃酥,active_assumed,,广德路与临泉路交叉口北140米,117.35816608494012,31.878686516419673,existing_project_kml,high,[],existing_project,from zhanji_all.kml in uploaded project,"117.363875, 31.876825"
ZJ011,詹记/宫廷桃酥类,詹记桃酥(临泉路店),active_assumed,,方庙街道临泉路香江世纪名城4幢107号,117.32842245810619,31.877574442170626,existing_project_kml,high,18655460291,existing_project,from zhanji_all.kml in uploaded project,"117.334063, 31.875662"
ZJ012,詹记/宫廷桃酥类,詹记桃酥(保利东郡店),active_assumed,,新安江路与郎溪路交口保利广场内层铺号1004A,117.35343427894794,31.860757864877527,existing_project_kml,high,18855175539,existing_project,from zhanji_all.kml in uploaded project,"117.359132, 31.858893"
ZJ013,詹记/宫廷桃酥类,詹记桃酥(元一店),active_assumed,,胜利路82号,117.30280801400217,31.87726651981499,existing_project_kml,high,15826861305,existing_project,from zhanji_all.kml in uploaded project,"117.308384, 31.875306"
ZJ014,詹记/宫廷桃酥类,詹记桃酥(和平路店),active_assumed,,和平路2号华源国际城商业街一区A104号,117.32695222353142,31.85620989510269,existing_project_kml,high,15209878576,existing_project,from zhanji_all.kml in uploaded project,"117.332587, 31.854299"
